Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
-	367	15789951	-	VNG0789C	-	-	hypothetical protein	592199	593302	OR1
-	155	15789952	rps15p	VNG0790G	-	COG0184J	30S ribosomal protein S15	593307	593774	OR1
-	789	15789953	htr6	VNG0793G	-	COG0840NT	Htr6	594361	596730	OR1
-	322	15789954	yufN	VNG0794G	-	COG1744R	ABC transporter lipoprotein	596727	597695	OR1
+	157	15789955	hcpC	VNG0795G	-	COG3794C	halocyanin-like protein	598271	598744	OF155
+	405	15789956	cgs	VNG0796G	-	COG0626E	cystathionine gamma-synthase	598879	600096	OF156
+	422	15789957	-	VNG0798H	-	COG2837P	hypothetical protein	600156	601424	OF157
+	233	15789958	-	VNG0799C	-	COG1136V	hypothetical protein	601488	602189	OF158
+	198	15789959	-	VNG0800H	-	COG4591M	hypothetical protein	602186	602782	OF158
-	96	15789960	-	VNG0801C	-	COG1826U	hypothetical protein	603037	603327	OR1
+	297	15789961	-	VNG0804C	-	COG3294S	hypothetical protein	603453	604346	OF158
-	778	15789962	htr4	VNG0806G	-	COG0840NT	Htr4	604372	606708	OR1
-	453	15789963	gabD	VNG0808G	-	COG1012C	succinate-semialdehyde dehydrogenase	606864	608225	OR1
+	226	15789964	-	VNG0810H	-	-	hypothetical protein	608215	608895	OF159
-	130	15789965	-	VNG0811H	-	-	hypothetical protein	608896	609288	OR1
+	790	15789966	htr18	VNG0812G	-	COG0840NT	Htr18	609588	611960	OF160
+	416	15789967	potD	VNG0813G	-	COG0687E	spermidine/putrescine-binding protein	611957	613207	OF160
-	210	15789968	-	VNG0814C	-	COG0451MG	hypothetical protein	613227	613859	OR1
+	380	15789969	yfmJ	VNG0815G	-	COG2130R	quinone oxidoreductase	613864	615006	OF160
+	546	15789970	chi	VNG0816G	-	COG3325G	chitinase	615200	616840	OF161
+	572	15789971	-	VNG0818C	-	COG3325G	hypothetical protein	616933	618651	OF162
+	561	15789972	-	VNG0819C	-	COG3979R	hypothetical protein	618648	620333	OF162
-	217	15789973	-	VNG0821C	-	COG2226H	hypothetical protein	620587	621240	OR1
-	535	15789974	-	VNG0822C	-	COG2064NU	hypothetical protein	621237	622844	OR1
-	561	15789975	gspE2	VNG0823G	-	COG0630NU	type II secretion system protein	623369	625054	OR1
-	233	15789976	gdb	VNG0824G	-	COG0746H	molybdopterin-guanine dinucleotide biosynthesis protein A	625085	625786	OR1
-	148	15789977	-	VNG0825C	-	COG1763H	hypothetical protein	625866	626312	OR1
+	224	15789978	-	VNG0826C	-	COG3413R	hypothetical protein	626458	627132	OF162
+	79	15789979	-	VNG0828H	-	-	hypothetical protein	627213	627452	OF163
+	837	15789980	dmsA	VNG0829G	-	COG0243C	dimethylsulfoxide reductase	627445	629958	OF163
+	262	15789981	hmoA	VNG0830G	-	COG0437C	HmoA	629955	630743	OF163
+	435	15789982	moz	VNG0831G	-	COG5557C	molybdopterin oxidoreductase	630743	632050	OF163
+	192	15789983	-	VNG0832C	-	COG3381R	hypothetical protein	632047	632625	OF163
+	296	15789984	-	VNG0834C	-	COG1422S	hypothetical protein	632698	633588	OF163
-	120	15789985	idr2	VNG0835G	-	COG1321K	iron-dependent repressor-like protein	633600	633962	OR1
+	126	15789986	-	VNG0836H	-	-	hypothetical protein	635667	636047	OF164
+	96	15789987	-	VNG0837H	-	-	hypothetical protein	636909	637199	OF165
+	357	15789988	ssrA	VNG0838G	-	COG4974L	integrase/recombinase	637192	638265	OF165
-	34	15789989	-	VNG0840H	-	-	hypothetical protein	638529	638633	OR1
-	220	15789990	icfA	VNG0841G	-	COG0288P	IcfA	638908	639570	OR1
-	269	15789991	-	VNG0845C	-	COG2226H	hypothetical protein	639672	640481	OR1
+	491	15789992	-	VNG0846C	-	-	hypothetical protein	640617	642092	OF165
-	301	15789993	-	VNG0847H	-	-	hypothetical protein	642117	643022	OR1
-	449	15789994	-	VNG0849C	-	COG1196D	hypothetical protein	643071	644420	OR1
-	319	15789995	-	VNG0851C	-	COG2220R	hypothetical protein	644507	645466	OR1
+	216	15789996	-	VNG0852C	-	COG3413R	hypothetical protein	645426	646076	OF166
-	132	15789997	-	VNG0853C	-	COG3679S	hypothetical protein	646085	646483	OR1
+	344	15789998	-	VNG0854C	-	COG0411E	hypothetical protein	646591	647625	OF167
+	206	16554473	-	VNG0857Cm	-	COG2263J	RNA methylase	647674	648294	OF167
-	598	15790000	-	VNG0858C	-	COG0705R	hypothetical protein	648285	650081	OR1
+	94	15790001	rpoL	VNG0860G	-	COG1761K	DNA-directed RNA polymerase subunit L	650181	650465	OF167
-	273	15790002	hisF	VNG0862G	-	COG0107E	imidazole glycerol phosphate synthase subunit HisF	650472	651293	OR1
+	99	15790003	-	VNG0861H	-	-	hypothetical protein	651537	651836	OF168
+	45	15790004	-	VNG0863H	-	-	hypothetical protein	651889	652026	OF169
-	700	15790005	purL	VNG0864G	-	COG0046F	phosphoribosylformylglycinamidine synthase II	652034	654136	OR1
+	206	15790006	-	VNG0865C	-	COG0613R	hypothetical protein	654315	654935	OF170
+	360	15790007	asnA	VNG0867G	-	COG0367E	asparagine synthetase	654935	656017	OF170
-	157	15790008	-	VNG0868H	-	COG1051F	hypothetical protein	656033	656506	OR1
-	328	15790009	tfbD	VNG0869G	-	COG1405K	transcription initiation factor IIB	656539	657525	OR1
+	128	15790010	gatC	VNG0870G	-	COG0721J	hypothetical protein	657575	657961	OF170
+	423	15790011	gatA	VNG0872G	-	COG0154J	aspartyl/glutamyl-tRNA amidotransferase subunit A	657961	659232	OF170
-	155	15790012	ykhA	VNG0873G	-	COG1607I	acyl-CoA hydrolase	659240	659707	OR1
+	504	15790013	traB	VNG0874G	-	COG1916S	hypothetical protein	659810	661324	OF170
+	197	16554474	-	VNG0875Cm	-	COG1994R	Zn-dependent protease	661336	661929	OF170
+	331	15790015	purM	VNG0876G	-	COG0150F	phosphoribosylaminoimidazole synthetase	661987	662982	OF170
-	179	16554475	-	VNG0878Gm	-	COG3620K	transcription regulator	663068	663607	OR1
-	121	15790017	-	VNG0879C	-	COG1885S	hypothetical protein	663648	664013	OR1
+	255	15790018	psmA	VNG0880G	-	COG0638O	proteasome subunit alpha	664212	664979	OF171
+	561	15790019	lig	VNG0881G	-	COG1793L	DNA ligase	665121	666806	OF172
+	257	16554476	PHO2	VNG0882Gm	-	COG0647G	p-nitrophenyl phosphatase	666861	667634	OF173
+	264	15790021	-	VNG0883H	-	COG2220R	hypothetical protein	667700	668494	OF174
-	366	15790022	top6A	VNG0884G	-	COG1697L	DNA topoisomerase VI subunit A	668445	669545	OR1
-	804	15790023	top6B	VNG0885G	-	COG1389L	DNA topoisomerase VI subunit B	669542	671956	OR1
+	611	15790024	gyrB	VNG0887G	-	COG0187L	DNA gyrase subunit B	672176	674011	OF175
+	824	15790025	gyrA	VNG0889G	-	COG0188L	DNA gyrase subunit A	674013	676487	OF175
+	177	15790026	imd2	VNG0890G	-	COG2524K	inosine-5'-monophosphate dehydrogenase	676676	677209	OF175
+	389	15790027	yjlD	VNG0891G	-	COG1252C	NADH dehydrogenase	677255	678424	OF175
+	51	15790028	-	VNG0892H	-	-	hypothetical protein	678467	678622	OF175
+	174	16554477	-	VNG0892a	-	COG2320S	hypothetical protein	678619	679143	OF175
-	273	15790029	udp2	VNG0893G	-	COG2820F	uridine phosphorylase	679140	679961	OR1
-	134	15790030	cda	VNG0896G	-	COG0295F	cytidine deaminase	680015	680419	OR1
-	361	15790031	rbsC1	VNG0897G	-	COG1079R	ribose ABC transporter permease	680470	681555	OR1
-	407	15790032	rbsC2	VNG0898G	-	COG4603R	ribose ABC transporter permease	681548	682771	OR1
-	506	15790033	rbsA	VNG0901G	-	COG3845R	ribose ABC transporter ATP-binding	682768	684288	OR1
-	349	15790034	-	VNG0903C	-	COG1744R	hypothetical protein	684313	685362	OR1
-	460	15790035	pmu2	VNG0905G	-	COG1109G	phosphomannomutase	685465	686847	OR1
-	159	15790036	-	VNG0906H	-	-	hypothetical protein	686893	687372	OR1
+	48	15790037	-	VNG0907H	-	-	hypothetical protein	687546	687692	OF175
+	522	15790038	putP	VNG0908G	-	COG0591ER	hypothetical protein	687787	689355	OF176
+	173	15790039	-	VNG0909H	-	-	hypothetical protein	689345	689866	OF176
+	90	15790040	-	VNG0911H	-	-	hypothetical protein	689936	690208	OF176
+	483	15790041	-	VNG0913H	-	-	hypothetical protein	690192	691643	OF176
-	366	15790042	-	VNG0914H	-	-	hypothetical protein	691613	692713	OR1
+	397	15790043	hakA	VNG0915G	-	COG3844E	atrazine chlorohydrolase	692869	694062	OF176
-	765	15790044	ark	VNG0916G	-	COG0642T	adaptive-response sensory-kinase	694068	696365	OR1
-	213	15790045	hrg	VNG0917G	-	COG2204T	Hrg	696355	696996	OR1
-	294	15790046	-	VNG0918H	-	COG3676L	hypothetical protein	697055	697939	OR1
+	229	15790047	gst	VNG0919G	-	COG0463M	hypothetical protein	698097	698786	OF177
-	688	15790048	-	VNG0920H	-	COG1807M	hypothetical protein	698755	700821	OR1
-	377	15790049	potA1	VNG0921G	-	COG3842E	spermidine/putrescine ABC transporter ATP-binding protein	700821	701954	OR1
-	537	15790050	sfuB	VNG0923G	-	COG1178P	iron transporter-like protein	701947	703560	OR1
-	383	15790051	ibp	VNG0924G	-	COG1840P	Ibp	703563	704714	OR1
-	333	15790052	-	VNG0925C	-	-	hypothetical protein	704811	705812	OR1
+	59	15790053	-	VNG0926H	-	-	hypothetical protein	705811	705990	OF178
-	239	15790054	-	VNG0927C	-	-	hypothetical protein	706028	706747	OR1
-	521	15790055	mak	VNG0928G	-	COG0515RTKL	MAPK-activated protein kinase	706744	708309	OR1
+	338	15790056	yvbT	VNG0930G	-	COG2141C	alkanal monooxygenase-like protein	708396	709412	OF179
+	383	15790057	acaB2	VNG0931G	-	COG0183I	3-ketoacyl-CoA thiolase	709490	710641	OF180
+	130	15790058	-	VNG0932C	-	COG1545R	hypothetical protein	710638	711030	OF180
-	366	15790059	yqjM	VNG0933G	-	COG1902C	NADH-dependent flavin oxidoreductase	711047	712147	OR1
-	57	15790060	-	VNG0934H	-	-	hypothetical protein	712274	712447	OR1
-	213	15790061	noxC	VNG0935G	-	COG0778C	NADH oxidase	712502	713143	OR1
-	270	15790062	-	VNG0936C	-	COG0388R	hypothetical protein	713283	714095	OR1
+	480	15790063	gap	VNG0937G	-	COG1012C	glyceraldehyde-3-phosphate dehydrogenase	714164	715606	OF180
-	266	15790064	gufA	VNG0938G	-	COG0428P	GufA protein	715619	716419	OR1
+	700	16554478	ACS3	VNG0940Gm	-	COG1042C	Acetyl-CoA synthetase	716669	718771	OF181
+	354	15790066	-	VNG0941C	-	COG0857R	hypothetical protein	718768	719832	OF181
-	132	15790067	cheW2	VNG0942G	-	COG0835NT	hypothetical protein	719845	720243	OR1
+	115	15790068	-	VNG0943C	-	COG2345K	hypothetical protein	720331	720678	OF181
+	93	15790069	-	VNG0945H	-	-	hypothetical protein	720747	721028	OF182
-	323	15790070	minD1	VNG0946G	-	COG0455D	cell division inhibitor	721030	722001	OR1
-	581	15790071	fapJ	VNG0947G	-	COG1955NU	flagellar assembly protein J	722046	723791	OR1
-	629	15790072	gspE3	VNG0949G	-	COG0630NU	type II secretion system protein	723798	725687	OR1
-	256	16554479	flaH	VNG0950Gm	-	COG2874NU	ATPase	725699	726469	OR1
-	151	16554480	-	VNG0950a	-	COG3354N	flagellar protein G	726466	726921	OR1
-	145	15790074	-	VNG0953C	-	COG3353N	hypothetical protein	726922	727359	OR1
-	504	15790075	-	VNG0954C	-	COG3351N	hypothetical protein	727343	728857	OR1
-	156	15790076	fapE	VNG0955G	-	COG3351N	flagella-like protein E	728962	729432	OR1
-	636	15790077	htr15	VNG0958G	-	COG0840NT	Htr15	729429	731339	OR1
-	79	15790078	-	VNG0959H	-	-	hypothetical protein	731395	731634	OR1
+	193	15790079	flaB1	VNG0960G	-	COG1681N	flagellin B1	731799	732380	OF183
+	172	15790080	flaB2	VNG0961G	-	COG1681N	flagellin B2	732464	732982	OF184
+	169	15790081	flaB3	VNG0962G	-	COG1681N	flagellin B3	733066	733575	OF185
+	353	15790082	cpcE	VNG0963G	-	COG1413C	phycocyanin alpha phycocyanobilin lyase-like protein	733804	734865	OF186
+	290	15790083	-	VNG0964C	-	COG2469S	hypothetical protein	735009	735881	OF187
-	287	15790084	-	VNG0965C	-	COG2469S	hypothetical protein	735910	736773	OR1
-	234	15790085	cheR	VNG0966G	-	COG1352NT	hypothetical protein	736840	737544	OR1
-	155	16554481	cheD	VNG0967Gm	-	COG1871NT	chemotaxis protein	737643	738110	OR1
-	379	15790087	-	VNG0969H	-	COG1776NT	hypothetical protein	738107	739246	OR1
-	195	15790088	cheC1	VNG0970G	-	COG1776NT	chemotaxis protein	739248	739835	OR1
-	668	15790089	cheA	VNG0971G	-	COG0643NT	hypothetical protein	739838	741844	OR1
-	347	15790090	cheB	VNG0973G	-	COG2201NT	hypothetical protein	741846	742889	OR1
-	120	15790091	cheY	VNG0974G	-	COG4753T	hypothetical protein	742886	743248	OR1
-	178	15790092	cheW1	VNG0976G	-	COG0835NT	chemotaxis protein	743295	743831	OR1
-	197	15790093	-	VNG0978H	-	-	hypothetical protein	743896	744489	OR1
+	301	15790094	-	VNG0979H	-	-	hypothetical protein	744606	745511	OF188
+	371	15790095	-	VNG0981C	-	COG0436E	hypothetical protein	745648	746763	OF189
+	96	15790096	-	VNG0982C	-	COG1873S	hypothetical protein	746843	747133	OF190
-	484	15790097	-	VNG0983C	-	COG0618R	hypothetical protein	747151	748605	OR1
+	668	15790098	-	VNG0985H	-	COG1378K	hypothetical protein	749392	751398	OF191
+	175	15790099	-	VNG0986H	-	-	hypothetical protein	752276	752803	OF192
+	138	15790100	-	VNG0987H	-	-	hypothetical protein	753131	753547	OF193
+	80	15790101	-	VNG0988H	-	COG3815S	hypothetical protein	754149	754391	OF194
-	340	15790102	-	VNG0989C	-	COG4974L	hypothetical protein	754459	755481	OR1
+	57	15790103	-	VNG0990H	-	-	hypothetical protein	756010	756183	OF195
-	113	15790104	-	VNG0991H	-	-	hypothetical protein	756675	757016	OR1
-	236	15790105	-	VNG0992H	-	-	hypothetical protein	757409	758119	OR1
+	270	15790106	-	VNG0993H	-	-	hypothetical protein	758465	759277	OF196
-	67	15790107	-	VNG0994H	-	COG0864K	hypothetical protein	759667	759870	OR1
+	62	15790108	-	VNG0995H	-	-	hypothetical protein	760365	760553	OF197
+	601	15790109	boa4	VNG0996G	-	COG3413R	bacterio-opsin activator-like protein	760682	762487	OF198
+	667	15790110	acs2	VNG0997G	-	COG0365I	acetyl-CoA synthetase	762609	764612	OF199
-	336	15790111	yajO2	VNG0998G	-	COG0667C	oxidoreductase	764619	765629	OR1
-	89	15790112	-	VNG0999H	-	-	hypothetical protein	765775	766044	OR1
+	69	15790113	-	VNG1000H	-	COG3205S	hypothetical protein	766603	766812	OF200
-	527	15790114	guaB	VNG1001G	-	COG0516F	hypothetical protein	766955	768538	OR1
+	305	15790115	-	VNG1002H	-	-	hypothetical protein	768965	769882	OF201
+	74	15790116	-	VNG1003H	-	-	hypothetical protein	769965	770189	OF202
-	70	15790117	-	VNG1005H	-	-	hypothetical protein	770194	770406	OR1
+	239	15790118	-	VNG1006H	-	-	hypothetical protein	770827	771546	OF203
-	67	15790119	-	VNG1007H	-	COG0864K	hypothetical protein	771722	771925	OR1
+	196	15790120	flaA1a	VNG1008G	-	COG1681N	flagellin A1	773360	773950	OF204
+	170	15790121	flaA2	VNG1009G	-	COG1681N	flagellin A2	774034	774546	OF205
+	255	16554482	-	VNG1011Cm	-	COG2429S	GTP cyclohydrolase III	774736	775503	OF206
+	90	15790123	-	VNG1012H	-	COG0695O	hypothetical protein	775533	775805	OF206
-	423	15790124	htr13	VNG1013G	-	COG0840NT	Htr13	775802	777073	OR1
+	447	15790125	yqjH	VNG1014G	-	COG0389L	trans lesion repair	777110	778453	OF206
-	124	15790126	-	VNG1015H	-	-	hypothetical protein	778446	778820	OR1
-	367	15790127	-	VNG1017H	-	COG0438M	hypothetical protein	778857	779960	OR1
+	600	15790128	adh3	VNG1018G	-	COG0656R	alcohol dehydrogenase	780246	782048	OF207
+	283	15790129	-	VNG1020C	-	COG0558I	hypothetical protein	782045	782896	OF207
+	253	15790130	-	VNG1021C	-	COG2429S	GTP cyclohydrolase III	782934	783695	OF207
+	338	15790131	-	VNG1023C	-	COG1063ER	hypothetical protein	783700	784716	OF207
+	135	15790132	-	VNG1024C	-	COG0720H	hypothetical protein	784713	785120	OF207
+	281	15790133	-	VNG1025H	-	-	hypothetical protein	785117	785962	OF207
+	184	15790134	-	VNG1026H	-	-	hypothetical protein	785972	786526	OF207
-	214	15790135	tpiA	VNG1027G	-	COG0149G	triosephosphate isomerase	786530	787174	OR1
-	179	15790136	-	VNG1029C	-	COG1813K	hypothetical protein	787221	787760	OR1
-	199	15790137	pgsA	VNG1030G	-	COG0558I	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	787803	788402	OR1
-	169	15790138	-	VNG1031C	-	COG1936F	hypothetical protein	788399	788908	OR1
-	395	15790139	hisC1	VNG1033G	-	COG0079E	histidinol-phosphate aminotransferase	788905	790092	OR1
+	146	15790140	-	VNG1034H	-	-	hypothetical protein	790091	790531	OF207
-	529	15790141	-	VNG1035C	-	COG2303E	hypothetical protein	790599	792188	OR1
-	172	15790142	-	VNG1036H	-	-	hypothetical protein	792185	792703	OR1
-	244	15790143	hpcE	VNG1037G	-	COG0179Q	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	792760	793494	OR1
+	240	15790144	-	VNG1038C	-	COG2220R	hypothetical protein	793607	794329	OF208
+	180	15790145	-	VNG1039H	-	-	hypothetical protein	794483	795025	OF209
-	204	15790146	-	VNG1041H	-	-	hypothetical protein	795133	795747	OR1
+	150	15790147	-	VNG1042H	-	-	hypothetical protein	795777	796229	OF210
-	74	15790148	-	VNG1047H	-	-	hypothetical protein	796243	796467	OR1
+	97	15790149	-	VNG1046H	-	-	hypothetical protein	796466	796759	OF211
-	426	15790150	udg1	VNG1048G	-	COG1004M	UDP-glucose dehydrogenase	796773	798053	OR1
-	116	15790151	-	VNG1050H	-	COG3269R	hypothetical protein	798126	798476	OR1
+	228	15790152	-	VNG1052H	-	-	hypothetical protein	798683	799369	OF212
-	305	15790153	gtl	VNG1053G	-	COG0463M	glycosyl transferase-like protein	799383	800300	OR1
+	475	15790154	ptp	VNG1054G	-	COG2244R	polysaccharide biosynthesis protein	800415	801842	OF213
+	240	15790155	graD4	VNG1055G	-	COG1209M	glucose-1-phosphate thymidylyltransferase	801935	802657	OF214
+	326	15790156	-	VNG1056C	-	-	hypothetical protein	802721	803701	OF215
-	452	15790157	-	VNG1057C	-	COG3119P	hypothetical protein	803726	805084	OR1
+	372	15790158	-	VNG1058H	-	COG1331O	hypothetical protein	805308	806426	OF216
-	398	15790159	-	VNG1059C	-	COG0438M	hypothetical protein	806499	807695	OR1
+	261	15790160	-	VNG1060H	-	-	hypothetical protein	807925	808710	OF217
+	299	15790161	rfbQ	VNG1062G	-	COG1215M	rhamnosyl transferase	808831	809730	OF218
-	338	15790162	-	VNG1063H	-	-	hypothetical protein	809745	810761	OR1
-	446	15790163	-	VNG1064H	-	-	hypothetical protein	811152	812492	OR1
+	253	15790164	-	VNG1065C	-	COG2265J	hypothetical protein	812621	813382	OF219
+	302	15790165	-	VNG1066C	-	COG1215M	hypothetical protein	813372	814280	OF219
-	328	15790166	exoM	VNG1067G	-	COG1215M	succinoglycan biosynthesis protein	814270	815256	OR1
+	1087	15790167	tot	VNG1068G	-	COG1287R	transmembrane oligosaccharyl transferase	815317	818580	OF219
+	296	15790168	-	VNG1069C	-	COG2035S	hypothetical protein	818634	819524	OF220
-	403	16554483	gpdA1	VNG1070Gm	-	COG0578C	glycerol-3-phosphate dehydrogenase chain A	819545	820756	OR1
-	118	15790170	cinR	VNG1071G	-	COG2512S	transcription repressor	820841	821197	OR1
-	493	15790171	lfl1	VNG1073G	-	COG0318IQ	Lfl1	821245	822726	OR1
-	281	15790172	ykfB2	VNG1074G	-	COG4948MR	chloromuconate cycloisomerase	822719	823564	OR1
-	311	15790173	menA	VNG1075G	-	COG1575H	1,4-dihydroxy-2-naphthoate octaprenyltransferase	823711	824646	OR1
-	544	15790174	opuD	VNG1077G	-	COG1292M	glycine betaine transporter	824703	826337	OR1
-	304	15790175	menB	VNG1079G	-	COG0447H	naphthoate synthase	826509	827423	OR1
-	584	15790176	menD	VNG1081G	-	COG1165H	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	827496	829250	OR1
-	441	15790177	menF	VNG1083G	-	COG1169HQ	isochorismate synthase	829247	830572	OR1
-	198	15790178	yuiH	VNG1084G	-	COG2041R	sulfite oxidase-like protein	830618	831214	OR1
+	72	15790179	-	VNG1085H	-	-	hypothetical protein	831377	831595	OF221
+	92	15790180	-	VNG1086C	-	COG1745R	hypothetical protein	831651	831929	OF222
+	647	15790181	-	VNG1087C	-	COG1579R	hypothetical protein	832010	833953	OF223
-	68	15790182	-	VNG1088C	-	COG3388S	hypothetical protein	833972	834178	OR1
+	440	15790183	purA	VNG1089G	-	COG0104F	adenylosuccinate synthetase	834481	835803	OF224
+	67	15790184	-	VNG1090H	-	COG2835S	hypothetical protein	835854	836057	OF225
-	366	15790185	-	VNG1092C	-	-	hypothetical protein	836666	837766	OR1
-	292	15790186	-	VNG1093C	-	COG2138S	hypothetical protein	837766	838644	OR1
+	394	15790187	-	VNG1094H	-	COG2834M	hypothetical protein	838735	839919	OF226
-	63	15790188	-	VNG1095H	-	-	hypothetical protein	839927	840118	OR1
-	102	15790189	-	VNG1096H	-	-	hypothetical protein	840223	840531	OR1
+	494	15790190	cysS	VNG1097G	-	COG0215J	hypothetical protein	840757	842241	OF227
+	278	15790191	-	VNG1099C	-	COG3403S	hypothetical protein	842300	843136	OF228
+	183	15790192	-	VNG1100C	-	COG1335Q	hypothetical protein	843129	843680	OF228
-	414	15790193	-	VNG1101C	-	COG1784S	hypothetical protein	843690	844934	OR1
-	114	15790194	rpl12p	VNG1103G	-	COG2058J	50S ribosomal protein L12	845055	845399	OR1
-	352	15790195	rplP0	VNG1104G	-	COG0244J	acidic ribosomal protein P0	845405	846463	OR1
-	212	15790196	rpl1P	VNG1105G	-	COG0081J	50S ribosomal protein L1	846465	847103	OR1
-	163	15790197	rpl11p	VNG1108G	-	COG0080J	50S ribosomal protein L17	847304	847795	OR1
-	68	15790198	-	VNG1110C	-	-	hypothetical protein	847866	848072	OR1
+	370	15790199	drg	VNG1111G	-	COG1163R	GTP-binding protein DRG	848173	849285	OF228
+	136	15790200	-	VNG1112H	-	-	hypothetical protein	849289	849699	OF228
+	261	15790201	glo1	VNG1114G	-	COG0346E	glyoxalase	849749	850534	OF228
+	124	15790202	-	VNG1115H	-	COG1720S	hypothetical protein	850650	851024	OF228
-	282	15790203	lds	VNG1118G	-	COG1798J	diphthine synthase	851026	851874	OR1
+	327	15790204	-	VNG1117C	-	COG2520R	hypothetical protein	851896	852879	OF229
+	83	15790205	-	VNG1119H	-	-	hypothetical protein	853114	853365	OF230
-	158	15790206	-	VNG1120H	-	COG4276S	hypothetical protein	853418	853894	OR1
+	391	15790207	aspC2	VNG1121G	-	COG0436E	aspartate aminotransferase	853986	855161	OF231
-	142	16554484	TRH7	VNG1123Gm	-	COG1522K	transcription regulator	855154	855582	OR1
-	312	15790209	korB	VNG1125G	-	COG1013C	2-ketoglutarate ferredoxin oxidoreductase (beta)	855719	856657	OR1
-	640	15790210	korA	VNG1128G	-	COG0674C	2-ketoglutarate ferredoxin oxidoreductase (alpha)	856660	858582	OR1
-	74	15790211	-	VNG1130H	-	-	hypothetical protein	858687	858911	OR1
-	343	15790212	mrp	VNG1131G	-	COG0489D	hypothetical protein	858908	859939	OR1
+	171	15790213	rps13p	VNG1132G	-	COG0099J	30S ribosomal protein S13	860275	860790	OF232
+	170	15790214	rps4p	VNG1133G	-	COG0522J	30S ribosomal protein S4	860790	861302	OF232
+	127	161349982	rps11p	VNG1134G	-	COG0100J	30S ribosomal protein S11	861309	861692	OF232
+	248	15790216	rpb3	VNG1136G	-	COG0202K	DNA-directed RNA polymerase II	861696	862442	OF232
+	117	15790217	rpl18e	VNG1137G	-	COG1727J	50S ribosomal protein L18	862694	863047	OF232
+	145	15790218	rpl13p	VNG1138G	-	COG0102J	50S ribosomal protein L13	863044	863481	OF232
+	132	16554485	rps9p	VNG1139Gm	-	COG0103J	30S ribosomal protein S9	863475	863873	OF232
+	66	15790220	rpoN	VNG1140G	-	COG1644K	DNA-directed RNA polymerase subunit N	863886	864086	OF232
+	60	15790221	rpoK	VNG1141G	-	COG1758K	DNA-directed RNA polymerase subunit K	864089	864271	OF232
+	398	15790222	eno	VNG1142G	-	COG0148G	phosphopyruvate hydratase	864273	865469	OF232
+	249	15790223	rps2P	VNG1143G	-	COG0052J	30S ribosomal protein S2	865466	866215	OF232
-	280	15790224	-	VNG1144H	-	-	hypothetical protein	866282	867124	OR1
+	330	15790225	mvk	VNG1145G	-	COG1577I	mevalonate kinase	867210	868202	OF232
+	245	15790226	argB	VNG1148G	-	COG1608R	hypothetical protein	868199	868936	OF232
+	448	16554486	-	VNG1149Cm	-	COG0595R	metallo-beta-lactamase superfamily hydrolase	869155	870501	OF232
+	347	15790228	idsA	VNG1150G	-	COG0142H	IdsA	870501	871544	OF232
+	73	15790229	-	VNG1151H	-	-	hypothetical protein	871623	871844	OF232
+	586	15790230	gltX	VNG1153G	-	COG0008J	glutamyl-tRNA synthetase	871960	873720	OF233
-	157	15790231	-	VNG1154H	-	-	hypothetical protein	873734	874207	OR1
-	768	15790232	hsp3	VNG1156G	-	COG1444R	Hsp3	874233	876539	OR1
+	120	15790233	rpl7ae	VNG1157G	-	COG1358J	50S ribosomal protein L7	876667	877029	OF234
+	74	161349981	rps28e	VNG1158G	-	COG2053J	30S ribosomal protein S28	877036	877260	OF234
+	62	15790235	rpl24e	VNG1159G	-	COG2075J	50S ribosomal protein L24	877260	877448	OF234
+	161	15790236	ndk	VNG1160G	-	COG0105F	nucleoside diphosphate kinase	877445	877930	OF234
-	315	15790237	-	VNG1162H	-	COG0620E	hypothetical protein	877978	878925	OR1
-	191	15790238	hemK	VNG1163G	-	COG2890J	hypothetical protein	878982	879557	OR1
-	300	15790239	-	VNG1164C	-	COG0668M	hypothetical protein	879550	880452	OR1
-	282	15790240	ksgA	VNG1165G	-	COG0030J	dimethyladenosine transferase	880623	881471	OR1
-	197	15790241	-	VNG1168C	-	COG1491J	hypothetical protein	881509	882102	OR1
-	119	15790242	-	VNG1169C	-	COG1460S	hypothetical protein	882144	882503	OR1
-	99	15790243	rpl21e	VNG1170G	-	COG2139J	50S ribosomal protein L21	882503	882802	OR1
+	393	15790244	metB	VNG1172G	-	COG0626E	cystathionine alpha synthase	883195	884376	OF234
-	99	15790245	ef1B	VNG1173G	-	COG2092J	elongation factor 1-beta	884446	884745	OR1
-	57	16554487	-	VNG1173a	-	COG2888J	Zn-ribbon RNA-binding protein with a function in translation	884715	884888	OR1
-	651	15790246	phoR	VNG1175G	-	COG0642T	PhoR protein-like protein	884967	886922	OR1
+	277	15790247	nop56/58	VNG1174G	-	COG1498J	nucleolar protein-like protein	886911	887744	OF235
+	210	15790248	fib	VNG1176G	-	COG1889J	fibrillarin	887741	888373	OF235
-	76	15790249	-	VNG1178H	-	-	hypothetical protein	888387	888617	OR1
-	236	15790250	-	VNG1179C	-	COG1522K	hypothetical protein	888617	889327	OR1
+	177	15790251	msrA	VNG1180G	-	COG0225O	methionine sulfoxide reductase A	889326	889859	OF235
